년,월,시도,시군구,대상가구수(호),가구당 평균 전력 사용량(kWh),가구당 평균 전기요금(원)
2016,1,서울특별시,성북구,198592.0,249.0,34871.0
2016,1,서울특별시,송파구,257415.0,257.0,36327.0
2016,1,서울특별시,양천구,183145.0,265.0,35949.0
2016,1,서울특별시,영등포구,186192.0,234.0,30726.0
2016,1,서울특별시,용산구,117282.0,254.0,40363.0
2016,1,서울특별시,은평구,207213.0,243.0,33712.0
2016,1,서울특별시,종로구,80789.0,223.0,34949.0
2016,1,서울특별시,중구,64266.0,231.0,32983.0
2016,1,서울특별시,중랑구,178427.0,238.0,31342.0
2016,2,서울특별시,강남구,255277.0,252.0,37643.0
2016,2,서울특별시,강동구,182591.0,251.0,34592.0
2016,2,서울특별시,강북구,146732.0,240.0,32153.0
2016,2,서울특별시,강서구,249084.0,241.0,32341.0
2016,2,서울특별시,관악구,270032.0,209.0,26342.0
2016,2,서울특별시,광진구,172066.0,223.0,30791.0
2016,2,서울특별시,구로구,188395.0,247.0,32240.0
2016,2,서울특별시,금천구,111500.0,229.0,29238.0
2016,2,서울특별시,노원구,219929.0,265.0,32427.0
2016,2,서울특별시,도봉구,139992.0,266.0,35185.0
2016,2,서울특별시,동대문구,175097.0,232.0,31426.0
2016,2,서울특별시,동작구,183093.0,229.0,30853.0
2016,2,서울특별시,마포구,182142.0,232.0,31484.0
2016,2,서울특별시,서대문구,147466.0,233.0,31948.0
2016,2,서울특별시,서초구,177283.0,283.0,45873.0
2016,2,서울특별시,성동구,129864.0,257.0,34843.0
2016,2,서울특별시,성북구,198724.0,254.0,36248.0
2016,2,서울특별시,송파구,257596.0,259.0,37000.0
2016,2,서울특별시,양천구,183356.0,266.0,36269.0
2016,2,서울특별시,영등포구,186152.0,234.0,30708.0
2016,2,서울특별시,용산구,117240.0,258.0,41636.0
2016,2,서울특별시,은평구,207276.0,247.0,34798.0
2016,2,서울특별시,종로구,80652.0,227.0,35893.0
2016,2,서울특별시,중구,64213.0,235.0,33763.0
2016,2,서울특별시,중랑구,178637.0,243.0,32532.0
2016,3,서울특별시,강남구,255457.0,234.0,32737.0
2016,3,서울특별시,강동구,182680.0,224.0,27665.0
2016,3,서울특별시,강북구,146714.0,213.0,25645.0
2016,3,서울특별시,강서구,250129.0,216.0,26160.0
2016,3,서울특별시,관악구,270458.0,185.0,20963.0
2016,3,서울특별시,광진구,172373.0,199.0,24607.0
2016,3,서울특별시,구로구,188503.0,221.0,26152.0
2016,3,서울특별시,금천구,111562.0,204.0,23471.0
2016,3,서울특별시,노원구,220175.0,238.0,26381.0
2016,3,서울특별시,도봉구,140097.0,237.0,28190.0
2016,3,서울특별시,동대문구,175092.0,207.0,25089.0
2016,3,서울특별시,동작구,183185.0,204.0,24807.0
2016,3,서울특별시,마포구,182110.0,207.0,25152.0
2016,3,서울특별시,서대문구,147621.0,211.0,25912.0
2016,3,서울특별시,서초구,179041.0,249.0,36906.0
2016,3,서울특별시,성동구,129929.0,230.0,28025.0
2016,3,서울특별시,성북구,198766.0,226.0,29052.0
2016,3,서울특별시,송파구,257525.0,232.0,29900.0
2016,3,서울특별시,양천구,183391.0,242.0,30166.0
2016,3,서울특별시,영등포구,186261.0,213.0,25798.0
2016,3,서울특별시,용산구,117305.0,228.0,32624.0
2016,3,서울특별시,은평구,207114.0,222.0,27947.0
2016,3,서울특별시,종로구,80668.0,201.0,28519.0
2016,3,서울특별시,중구,64954.0,207.0,26904.0
2016,3,서울특별시,중랑구,178937.0,216.0,26051.0
2016,4,서울특별시,강남구,255358.0,232.0,32175.0
2016,4,서울특별시,강동구,182368.0,223.0,27528.0
2016,4,서울특별시,강북구,147012.0,212.0,25305.0
2016,4,서울특별시,강서구,251656.0,217.0,26288.0
