지점번호,지점명,일시,평균기온(℃),평균최고기온(℃),최고기온(℃),	최고기온일자,평균최저기온(℃),최저기온(℃),최저기온일자
159,부산,2024-01,5.1,9.8,14.9,2024-01-31,1.3,-7.3,2024-01-23
159,부산,2024-02,7.4,11.5,19.8,2024-02-19,4.2,0.6,2024-02-10
159,부산,2024-03,9.6,14.1,21.6,2024-03-17,5.6,-5.0,2024-03-02
159,부산,2024-04,15.9,20.2,24.0,2024-04-14,12.6,8.2,2024-04-10
159,부산,2024-05,18.6,23.3,28.7,2024-05-20,14.7,9.6,2024-05-09
159,부산,2024-06,22.6,26.4,32.1,2024-06-19,19.7,14.9,2024-06-05
159,부산,2024-07,26.0,29.0,32.9,2024-07-31,23.8,20.8,2024-07-12
159,부산,2024-08,29.1,32.9,34.9,2024-08-30,26.3,24.7,2024-08-21
159,부산,2024-09,26.7,30.8,34.7,2024-09-19,23.9,18.9,2024-09-23
159,부산,2024-10,19.5,23.8,28.7,2024-10-01,16.4,10.8,2024-10-24
159,부산,2024-11,13.7,18.3,24.4,2024-11-16,10.4,3.5,2024-11-28
159,부산,2024-12,5.7,10.5,18.8,2024-12-02,2.0,-2.5,2024-12-22
159,부산,2025-01,4.0,8.8,14.2,2025-01-23,0.2,-10.1,2025-01-10
159,부산,2025-02,2.9,7.9,15.4,2025-02-28,-1.2,-8.2,2025-02-08
159,부산,2025-03,10.0,14.4,22.2,2025-03-23,6.3,0.3,2025-03-17











