년,월,시도,시군구,대상가구수(호),가구당 평균 전력 사용량(kWh),가구당 평균 전기요금(원),열대야일수,폭염일수,한파일수
2017,6,대구광역시,전체,1179007,204,20025,0,6,0
2017,7,대구광역시,전체,1181549,241,26651,12,16,0
2017,8,대구광역시,전체,1185342,282,34795,7,9,0
2017,9,대구광역시,전체,1187956,230,24544,0,0,0
2017,10,대구광역시,전체,1190195,200,19209,0,0,0
2017,11,대구광역시,전체,1191551,212,21322,0,0,0
2017,12,대구광역시,전체,1191330,226,23699,0,0,0
2018,1,대구광역시,전체,1191886,243,26766,0,0,4
2018,2,대구광역시,전체,1192444,245,27196,0,0,0
2018,3,대구광역시,전체,1195718,212,21102,0,0,0
2018,4,대구광역시,전체,1195906,217,21995,0,0,0
2018,5,대구광역시,전체,1197426,202,19567,0,0,0
2018,6,대구광역시,전체,1199095,210,20753,0,4,0
2018,7,대구광역시,전체,1201754,241,26519,17,21,0
2018,8,대구광역시,전체,1202927,354,41611,9,15,0
2018,9,대구광역시,전체,1203337,246,20920,0,0,0
2018,10,대구광역시,전체,1202555,201,18968,0,0,0
2018,11,대구광역시,전체,1204711,213,21145,0,0,0
2018,12,대구광역시,전체,1205713,225,23020,0,0,0
2019,1,대구광역시,전체,1205130,243,26225,0,0,0
2019,2,대구광역시,전체,1205636,239,25645,0,0,0
2019,3,대구광역시,전체,1205500,208,20204,0,0,0
2019,4,대구광역시,전체,1205432,218,21926,0,0,0
2019,5,대구광역시,전체,1206690,203,19421,0,2,0
2019,6,대구광역시,전체,1206197,208,20086,0,5,0
2019,7,대구광역시,전체,1204857,217,19686,8,6,0
2019,8,대구광역시,전체,1203712,303,31675,13,16,0
2019,9,대구광역시,전체,1204238,263,26962,1,0,0
2019,10,대구광역시,전체,1205825,211,20570,0,0,0
2019,11,대구광역시,전체,1206544,214,21162,0,0,0
2019,12,대구광역시,전체,1205714,225,22841,0,0,0
2020,1,대구광역시,전체,1205330,242,26043,0,0,0
2020,2,대구광역시,전체,1206343,243,26319,0,0,0
2020,3,대구광역시,전체,1209408,229,23907,0,0,0
2020,4,대구광역시,전체,1210346,231,24388,0,0,0
2020,5,대구광역시,전체,1210674,216,21627,0,0,0
2020,6,대구광역시,전체,1211536,225,23090,0,7,0
2020,7,대구광역시,전체,1213348,230,22254,1,0,0
2020,8,대구광역시,전체,1213860,277,27646,15,24,0
2020,9,대구광역시,전체,1213655,307,35746,0,0,0
2020,10,대구광역시,전체,1213029,213,20858,0,0,0
2020,11,대구광역시,전체,1213173,222,22419,0,0,0
2020,12,대구광역시,전체,1212734,233,24309,0,0,0
2021,1,대구광역시,전체,1213769,260,28856,0,0,1
2021,2,대구광역시,전체,1214816,252,27285,0,0,0
2021,3,대구광역시,전체,1214843,218,21199,0,0,0
2021,4,대구광역시,전체,1216366,225,22376,0,0,0
2021,5,대구광역시,전체,1220023,211,20100,0,0,0
2021,6,대구광역시,전체,1221778,220,21559,0,2,0
2021,7,대구광역시,전체,1223107,245,23987,4,13,0
2021,8,대구광역시,전체,1225851,325,35970,5,8,0
2021,9,대구광역시,전체,1227672,254,25325,0,0,0
2021,10,대구광역시,전체,1229858,218,22381,0,0,0
2021,11,대구광역시,전체,1229480,223,23298,0,0,0
2021,12,대구광역시,전체,1219772,231,24788,0,0,0
2022,1,대구광역시,전체,1220497,251,28788,0,0,0
2022,2,대구광역시,전체,1220904,252,28904,0,0,0
2022,3,대구광역시,전체,1219746,223,23365,0,0,0
2022,4,대구광역시,전체,1221948,228,23589,0,0,0
2022,5,대구광역시,전체,1225740,208,21053,0,4,0
2022,6,대구광역시,전체,1227517,222,23341,3,11,0
2023,1,대구광역시,전체,1249247,250,31833,0,0,1
2023,2,대구광역시,전체,1251683,245,32833,0,0,0
2023,3,대구광역시,전체,1254773,209,25894,0,0,0
2023,4,대구광역시,전체,1257144,215,26978,0,0,0
2023,5,대구광역시,전체,1259016,205,25308,0,1,0
2023,6,대구광역시,전체,1260614,217,28695,0,3,0
2023,7,대구광역시,전체,1264992,253,34176,3,9,0
2023,8,대구광역시,전체,1282781,330,47872,8,14,0
2023,9,대구광역시,전체,1285395,294,42379,0,0,0
2023,10,대구광역시,전체,1289847,217,29374,0,0,0
2023,11,대구광역시,전체,1293382,211,28149,0,0,0
2023,12,대구광역시,전체,1295295,224,30562,0,0,0
2024,1,대구광역시,전체,1298246,243,34660,0,0,0
2024,2,대구광역시,전체,1300410,241,34104,0,0,0
2024,3,대구광역시,전체,1301220,219,29643,0,0,0
2024,4,대구광역시,전체,1306289,218,29523,0,0,0
2024,5,대구광역시,전체,1309985,201,26483,0,0,0
2024,6,대구광역시,전체,1310739,216,29238,0,8,0
2024,7,대구광역시,전체,1312068,264,29804,16,11,0
2024,8,대구광역시,전체,1315238,362,20058,15,26,0
2024,9,대구광역시,전체,1316842,347,19535,5,8,0
2024,10,대구광역시,전체,1318787,248,28618,0,0,0
2024,11,대구광역시,전체,1320128,213,28448,0,0,0
2024,12,대구광역시,전체,1321753,221,30049,0,0,0
2022,7,대구광역시,전체,1229277,290,33502,10,18,0
2022,8,대구광역시,전체,1231359,330,37654,15,11,0
2022,9,대구광역시,전체,1233449,269,28802,0,1,0
2022,10,대구광역시,전체,1237344,213,22725,0,0,0
2022,11,대구광역시,전체,1245348,216,24282,0,0,0
2022,12,대구광역시,전체,1246549,227,26044,0,0,0
2015,1,대전광역시,전체,713378,241,31178,0,0,0
2015,2,대전광역시,전체,713979,237,30162,0,0,1
2015,3,대전광역시,전체,714346,208,23451,0,0,0
2015,4,대전광역시,전체,714974,218,25402,0,0,0
2015,5,대전광역시,전체,715424,201,21921,0,0,0
2015,6,대전광역시,전체,716155,205,22667,0,1,0
2015,7,대전광역시,전체,717291,207,22379,3,2,0
2015,8,대전광역시,전체,719308,257,32878,4,9,0
2015,9,대전광역시,전체,720772,218,24056,0,0,0
2015,10,대전광역시,전체,722032,195,20478,0,0,0
2015,11,대전광역시,전체,722624,210,23853,0,0,0
2015,12,대전광역시,전체,725096,218,25822,0,0,0
2016,1,대전광역시,전체,726661,232,29123,0,0,3
2016,2,대전광역시,전체,729283,236,30225,0,0,0
2016,3,대전광역시,전체,729682,211,24286,0,0,0
2016,4,대전광역시,전체,729972,210,24071,0,0,0
2016,5,대전광역시,전체,730263,195,20967,0,0,0
2016,6,대전광역시,전체,732633,200,21810,0,0,0
2016,7,대전광역시,전체,733355,214,24674,7,6,0
2016,8,대전광역시,전체,733916,282,42950,14,23,0
2016,9,대전광역시,전체,735188,241,16153,0,0,0
2016,10,대전광역시,전체,737152,194,19139,0,0,0
2016,11,대전광역시,전체,739413,206,23297,0,0,0
2016,12,대전광역시,전체,740663,214,23625,0,0,0
2017,1,대전광역시,전체,742263,227,24108,0,0,0
2017,2,대전광역시,전체,744737,230,24848,0,0,0
2017,3,대전광역시,전체,745630,198,18633,0,0,0
2017,4,대전광역시,전체,746282,208,20653,0,0,0
2017,5,대전광역시,전체,747930,191,17992,0,0,0
2017,6,대전광역시,전체,749020,192,18009,0,4,0
2017,7,대전광역시,전체,749546,219,22333,11,5,0
2017,8,대전광역시,전체,751460,268,31566,7,5,0
2017,9,대전광역시,전체,752119,217,21942,0,0,0
2017,10,대전광역시,전체,753319,190,17554,0,0,0
2017,11,대전광역시,전체,753857,201,19280,0,0,0
2017,12,대전광역시,전체,754587,216,21798,0,0,0
2018,1,대전광역시,전체,757749,231,24623,0,0,6
2018,2,대전광역시,전체,759301,235,25448,0,0,3
2018,3,대전광역시,전체,759918,200,19379,0,0,0
2018,4,대전광역시,전체,761217,206,20336,0,0,0
2018,5,대전광역시,전체,763009,191,17990,0,0,0
2018,6,대전광역시,전체,763807,197,18811,0,1,0
2018,7,대전광역시,전체,764457,217,21989,17,17,0
