Date,Location,Number of Households,Avg Power Consumption per Household (kWh),Avg Electricity Btill per Household (KRW),Number of Tropical Nights,Number of Heatwave Days,Number of Coldwave Days,Year,Month,Avg Temperature (Celsius),Avg Max Temperature (Celsius),Avg Min Temperature (Celsius),Avg Local Pressure (hPa),Avg Sea Level Pressure (hPa),Avg Vapor Pressure (hPa),Avg Dew Point Temp (Celsius),Avg Relative Humidity (%),Monthly Precipitation (mm),Small Pan Evaporation (mm),Avg Wind Speed (m/s),Max Wind Speed (m/s),Avg Cloud Cover (1/10),Total Sunshine Hours (hr),Sunshine Rate (%),Total Solar Radiation (MJ/m^2),Avg Min Surface Temp (Celsius),Avg Ground Temp (Celsius)
2019-03-01,Busan,1662504,210,20903,0,0,0,2019,3,10.5,15.1,6.7,1008.1,1016.4,7.0,1.0,54,75.4,148.1,3.6,12.7,4.4,256.0,69.0,547.76,1.8,12.2
2019-04-01,Busan,1666477,221,22827,0,0,0,2019,4,13.4,17.3,9.9,1006.6,1014.9,9.3,4.9,60,85.0,148.3,3.2,10.0,5.3,210.7,53.72,535.46,5.7,15.4
2019-05-01,Busan,1668722,205,20107,0,0,0,2019,5,19.3,23.6,15.7,1004.0,1012.1,12.9,10.0,58,76.1,220.2,3.3,14.8,4.6,302.2,69.62,749.14,10.2,21.7
2019-06-01,Busan,1673460,206,20206,0,0,0,2019,6,21.1,24.7,18.3,999.4,1007.4,18.4,15.9,74,324.3,161.8,2.6,12.5,6.2,234.9,54.1,620.06,15.0,24.0
2019-07-01,Busan,1678972,212,19216,5,0,0,2019,7,24.3,27.1,22.4,999.2,1007.1,25.7,21.3,85,358.9,145.4,3.7,10.7,7.2,192.4,43.49,544.77,20.5,26.4
2019-08-01,Busan,1678813,291,30607,19,3,0,2019,8,27.0,30.1,24.6,999.1,1006.9,27.7,22.6,78,156.3,174.0,3.1,11.5,5.8,239.5,57.37,594.42,22.4,29.8
2019-09-01,Busan,1679329,265,28287,3,0,0,2019,9,23.1,26.6,20.7,1006.4,1014.4,23.1,19.4,82,279.0,117.4,2.8,12.2,6.7,157.7,42.34,415.5,18.4,24.3
2019-10-01,Busan,1682703,214,21544,0,0,0,2019,10,18.6,22.8,15.5,1009.4,1017.6,14.6,11.8,67,139.9,133.0,3.0,14.5,4.6,225.2,64.16,421.23,11.3,18.9
2019-11-01,Busan,1688225,213,21377,0,0,0,2019,11,13.0,17.9,9.4,1013.0,1021.3,9.0,4.4,58,13.8,105.7,2.7,15.8,3.6,216.1,69.55,341.34,2.8,11.9
2019-12-01,Busan,1690356,222,22998,0,0,0,2019,12,7.0,11.7,3.4,1015.3,1023.9,5.4,-3.5,50,50.3,90.7,2.6,10.1,3.3,214.3,70.22,300.64,-3.2,5.5
2020-01-01,Busan,1692810,240,26621,0,0,0,2020,1,6.4,10.9,3.1,1012.8,1021.4,5.7,-2.3,57,127.7,79.1,3.0,15.9,5.1,184.8,59.06,283.59,-1.8,5.3
2020-02-01,Busan,1695814,243,27035,0,0,0,2020,2,7.1,11.8,3.1,1014.7,1023.3,6.0,-2.2,55,94.9,100.0,3.1,14.2,3.9,207.7,67.92,373.12,-2.5,7.1
2020-03-01,Busan,1697638,227,24090,0,0,0,2020,3,10.4,15.0,6.4,1008.5,1016.9,7.4,1.4,57,58.8,142.6,3.6,13.3,4.0,243.0,65.34,534.87,1.5,13.0
2020-04-01,Busan,1701204,231,24828,0,0,0,2020,4,12.6,17.5,8.9,1008.1,1016.4,7.6,2.2,53,83.5,187.4,3.7,13.0,3.7,262.4,66.75,649.75,3.6,17.2
